Timeinms,action,confidence
1604237067661,Still,100
1604237107446,Tilting,100
1604237137413,On Bicycle,77
1604237147743,On Bicycle,77
1604237152940,On Bicycle,91
1604237158106,On Bicycle,98
1604237163263,On Bicycle,97
1604237168393,On Bicycle,97
1604237173549,On Bicycle,99
1604237178639,On Bicycle,97
1604237183735,On Bicycle,97
1604237188864,On Bicycle,97
1604237193979,On Bicycle,96
1604237199112,On Bicycle,97
1604237204284,On Bicycle,97
1604237209440,On Bicycle,98
1604237216312,On Bicycle,97
1604237221447,On Bicycle,98
1604237226623,On Bicycle,99
1604237231769,On Bicycle,99
1604237236974,Tilting,100
1604237236999,On Bicycle,94
1604237256850,Tilting,100
1604237267738,Tilting,100
1604238276578,On Bicycle,96 
1604238281927,On Bicycle,98
1604238287317,On Bicycle,87
1604238292746,On Bicycle,87
1604238298123,On Bicycle,81
1604238303545,On Bicycle,78
1604238308940,On Bicycle,76
1604238325162,On Bicycle,80
1604238330582,On Bicycle,86
1604238378443,On Bicycle,84
1604238395601,On Bicycle,90
1604238401020,On Bicycle,78
1604238417048,Still,77
1604238430644,On Bicycle,86
1604238435851,On Bicycle,85
1604238483855,On Bicycle,86
1604238505845,In vehicle,97
1604238510966,In vehicle,96
1604238516144,In vehicle,95
1604238521557,In vehicle,84
1604238537804,On Foot,82
1604238537805,Walking,82
1604238543246,On Foot,93
1604238543246,Walking,93
1604238548667,On Foot,94
1604238548667,Walking,94
1604238553868,Tilting,100
1604238553893,On Foot,94
1604238553893,Walking,94
1604238575326,On Bicycle,74
1604238580704,On Bicycle,91
1604238586126,On Bicycle,83
1604238591547,On Bicycle,72
1604238596726,On Bicycle,84 
1604238618243,On Bicycle,85
1604238632392,On Bicycle,79
1604238637788,On Bicycle,85
1604238642959,On Bicycle,86
1604238653565,On Bicycle,88
1604238658977,On Bicycle,91
1604238664389,On Bicycle,82
1604238669794,On Bicycle,88
1604238675165,On Bicycle,90
1604238690951,Tilting,100
1604238696374,Tilting,100
1604238707187,On Foot,81
1604238707187,Walking,81
1604238712577,On Foot,96
1604238712579,Walking,96
1604238717981,On Foot,96
1604238717981,Walking,96
1604238723388,On Foot,91
1604238723389,Walking,91
1604238728854,On Foot,91
1604238728855,Walking,91
1604238734070,On Foot,88
1604238734071,Walking,88
1604238739494,On Foot,82
1604238739494,Walking,82
1604238753170,Tilting,100
1604238758366,Tilting,100
1604238773883,Still,96
1604238779045,Still,96
1604238784156,Still,99
1604238789317,Still,99
1604238794523,Still,99
1604238799719,Still,99
1604238804909,Still,99
1604238810083,Still,99
1604238815288,Still,99
1604238820440,Still,99
1604238825656,Still,99
1604238830814,Still,99
1604238835930,Still,99
1604238841106,Still,99
1604238846254,Still,99
1604238851445,Still,99
1604238856586,Still,99
1604238889330,Still,80
1604238894467,Tilting,100
